,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
64,Kaitangata,100,NZ,1563093196,73,-46.28,169.85,45.0,5.01
65,Mitu,0,IR,1563093197,8,36.2,46.09,89.69,12.46
66,Tuktoyaktuk,87,CA,1563093198,79,69.44,-133.03,43.61,11.92
67,La Palma,87,CO,1563093200,97,5.36,-74.39,65.03,3.74
68,Margate,75,AU,1563093201,75,-43.03,147.26,42.8,11.41
69,Airai,85,TL,1563093202,51,-8.93,125.41,76.73,8.01
70,Hobart,75,AU,1563093204,75,-42.88,147.33,42.8,11.41
71,Konstantinovka,85,UA,1563093205,47,46.85,29.85,74.03,3.42
72,Salaga,15,GH,1563093206,74,8.55,-0.52,79.43,4.76
73,Kadan,100,CM,1563093207,91,4.71,11.13,73.13,2.59
74,Kaeo,38,NZ,1563092885,92,-35.1,173.78,51.01,13.29
75,Lavrentiya,0,RU,1563093210,80,65.58,-170.99,54.77,7.54
76,Ribeira Grande,20,PT,1563093211,82,38.52,-28.7,68.0,5.82
77,Bredasdorp,33,ZA,1563093212,87,-34.53,20.04,59.0,4.7
78,Mataura,100,NZ,1563093213,89,-46.19,168.86,44.01,11.99
79,Bonavista,94,CA,1563092999,97,48.65,-53.11,50.63,12.48
80,San Quintin,100,PH,1563093080,75,17.54,120.52,83.57,3.8
81,Yarada,40,IN,1563093217,50,17.65,83.27,95.0,14.99
82,Lagoa,0,PT,1563093218,69,37.14,-8.45,75.99,4.7
83,Komsomolskiy,98,RU,1563093219,83,67.55,63.78,63.05,16.62
84,Esperance,0,AU,1563092988,62,-33.86,121.89,57.2,6.93
85,San Juan,0,AR,1563093222,34,-31.54,-68.53,34.79,2.57
86,Yellowknife,40,CA,1563093223,81,62.45,-114.38,50.0,3.36
87,New Norfolk,75,AU,1563093224,75,-42.78,147.06,42.8,11.41
88,Meadow Lake,100,CA,1563093225,98,54.13,-108.44,52.61,3.78
89,Bluff,85,AU,1563093227,43,-23.58,149.07,53.51,6.62
90,Chumikan,88,RU,1563093228,85,54.72,135.31,54.95,4.88
91,Kodiak,1,US,1563093229,53,39.95,-94.76,73.99,3.36
92,Moron,0,HT,1563093230,78,18.56,-74.26,78.53,3.78
93,Port Hardy,75,CA,1563093073,93,50.7,-127.42,57.2,3.36
94,Faanui,0,PF,1563093233,72,-16.48,-151.75,78.89,10.31
95,Klaksvik,94,FO,1563092956,87,62.23,-6.59,51.8,16.53
96,Alofi,100,NU,1563093235,73,-19.06,-169.92,71.6,12.75
97,Tacana,15,AR,1563093236,87,-28.63,-65.59,54.0,0.92
98,Ponta do Sol,0,BR,1563093237,65,-20.63,-46.0,58.19,1.3
99,Istok,90,PL,1563093239,82,52.66,23.48,70.0,10.25
100,Lompoc,90,US,1563093022,100,34.64,-120.46,61.0,5.86
101,Katherine,17,AU,1563093241,24,-14.47,132.26,78.8,11.41
102,Albany,40,US,1563093069,68,42.65,-73.75,71.6,4.7
103,Natitingou,75,BJ,1563093243,83,10.31,1.38,75.2,8.05
104,Hithadhoo,90,MV,1563093078,77,-0.6,73.08,83.57,12.75
105,Meulaboh,100,ID,1563093246,74,4.14,96.13,81.41,6.8
106,Saint Anthony,1,US,1563093247,63,43.97,-111.68,64.4,3.36
107,Victoria,75,BN,1563092895,70,5.28,115.24,87.8,5.82
108,Beloha,0,MG,1563093250,48,-25.17,45.06,75.29,13.11
109,Thompson,90,CA,1563093251,93,55.74,-97.86,57.2,2.24
110,Hasaki,75,JP,1563093252,88,35.73,140.83,73.4,6.93
111,Henties Bay,0,NA,1563093253,69,-22.12,14.28,60.17,9.15
112,Isangel,75,VU,1563092870,80,-19.55,169.27,74.93,11.59
113,Kirkwall,75,GB,1563093256,100,58.98,-2.96,55.4,12.75
114,Namatanai,100,PG,1563093257,91,-3.66,152.44,76.01,12.82
115,Saint-Pierre,40,FR,1563093258,72,48.95,4.24,66.99,14.99
116,Beruwala,100,LK,1563093260,76,6.48,79.98,83.39,11.56
117,Upernavik,0,GL,1563093261,76,72.79,-56.15,45.41,6.29
118,Damavand,20,IR,1563093262,12,35.72,52.07,98.6,9.17
119,Narsaq,40,GL,1563093263,57,60.91,-46.05,50.0,4.7
120,Ilulissat,4,GL,1563093031,87,69.22,-51.1,44.6,2.24
121,San Jose,20,HN,1563093016,83,14.25,-87.96,73.4,3.36
122,Gazojak,0,TM,1563093267,6,41.19,61.4,110.21,9.98
123,Carnarvon,0,ZA,1563093268,17,-30.97,22.13,63.77,16.53
124,Geraldton,5,CA,1563093269,93,49.72,-86.95,51.8,3.36
125,Makinsk,0,KZ,1563093270,38,52.63,70.42,82.85,11.36
126,Vanimo,0,PG,1563092856,75,-2.67,141.3,83.39,11.41
127,Yumen,0,CN,1563092996,12,40.29,97.04,88.61,6.26
128,Gat,100,SN,1563093274,83,14.69,-16.54,78.8,5.82
129,Katsuura,75,JP,1563093275,88,33.93,134.5,75.2,3.36
130,Deputatskiy,100,RU,1563093276,90,69.3,139.9,49.01,9.15
131,Bandarban,90,BD,1563093277,79,22.2,92.22,84.2,9.17
132,Vao,69,EE,1563093279,63,59.1,26.19,60.71,6.78
133,Sola,0,TZ,1563093280,35,-3.17,33.8,82.31,9.89
134,Chiredzi,0,ZW,1563093281,34,-21.05,31.67,77.09,4.7
135,Bethel,90,US,1563093282,93,60.79,-161.76,60.8,4.7
136,Necochea,0,AR,1563093284,97,-38.55,-58.74,35.01,1.99
137,Le Port,100,FR,1563093285,58,42.87,1.37,78.01,5.01
138,Inhambane,20,MZ,1563092932,88,-23.87,35.38,69.8,2.13
139,Fortuna,90,US,1563093287,93,40.6,-124.16,61.0,11.1
140,General Teran,66,MX,1563093289,57,25.27,-99.68,79.25,4.47
141,Nevers,0,FR,1563093015,64,46.99,3.16,81.0,10.29
142,Mount Isa,93,AU,1563093291,23,-20.73,139.49,64.4,18.34
143,Viedma,66,AR,1563093292,59,-40.81,-62.99,43.97,9.95
144,Havoysund,100,NO,1563093293,81,71.0,24.66,46.4,3.36
145,Kavieng,100,PG,1563092833,76,-2.57,150.8,81.77,3.22
146,Qaanaaq,98,GL,1563093296,62,77.48,-69.36,43.61,13.44
147,Thohoyandou,0,ZA,1563093297,22,-22.97,30.46,75.47,1.5
148,Severo-Kurilsk,0,RU,1563093298,92,50.68,156.12,45.23,10.07
149,Arica,90,CL,1563093299,67,-18.48,-70.32,60.8,6.02
150,Borogontsy,45,RU,1563093301,44,62.67,131.17,84.11,2.64
151,Busselton,0,AU,1563093302,38,-33.64,115.35,61.0,10.65
152,Mount Gambier,75,AU,1563093303,71,-37.83,140.78,51.8,21.92
153,Cocachacra,97,PE,1563093304,86,-17.09,-71.76,54.23,5.75
154,Souillac,0,FR,1563092836,49,45.6,-0.6,75.0,10.29
155,Kungurtug,100,RU,1563093307,70,50.6,97.53,65.75,5.17
156,Mudgee,75,AU,1563093308,73,-32.6,149.59,45.0,10.29
157,Lujan,68,AR,1563093309,73,-46.57,-67.67,39.11,9.64
158,Georgetown,18,GY,1563093310,89,6.8,-58.16,74.03,4.12
159,Zavodouspenskoye,0,RU,1563093312,45,56.86,65.02,84.99,11.18
160,Marzuq,42,YE,1563093313,15,14.4,46.47,94.73,11.21
161,Zhangjiakou,43,CN,1563093314,30,40.77,114.88,77.81,7.67
162,Hauterive,90,CA,1563093315,100,49.18,-68.27,59.0,5.82
163,Te Anau,76,NZ,1563093317,92,-45.41,167.72,38.21,3.76
164,Berlevag,96,NO,1563093318,86,70.86,29.09,44.15,9.98
165,Iberia,0,PE,1563093319,94,-11.41,-69.49,68.09,1.03
166,Calatayud,4,ES,1563093320,61,41.35,-1.64,77.0,8.05
167,Kabinda,0,CD,1563093321,27,-6.14,24.49,91.67,5.21
168,Svetlogorsk,40,RU,1563093323,31,53.14,59.15,87.8,4.47
169,Terra Santa,100,BR,1563093324,89,-2.1,-56.49,73.13,2.77
170,Mahebourg,40,MU,1563093325,53,-20.41,57.7,75.2,9.17
171,Boyabat,75,TR,1563093326,56,41.47,34.77,73.4,14.99
172,Zarate,100,MX,1563093328,96,18.92,-101.44,65.21,4.59
173,Fengzhen,90,CN,1563093329,32,40.43,113.15,79.61,7.43
174,Clyde River,90,CA,1563093330,81,70.47,-68.59,48.2,8.05
175,Leh,97,IN,1563093067,41,34.16,77.58,51.17,8.21
176,Bangui,75,CF,1563093332,94,4.39,18.55,73.4,2.24
177,Vaini,75,IN,1563093334,88,15.34,74.49,82.4,13.87
178,Laguna,20,BZ,1563093335,100,16.17,-88.94,75.2,1.03
179,Kendari,83,ID,1563092950,84,-3.99,122.52,75.65,4.54
180,North Adams,90,US,1563093337,93,42.7,-73.11,70.0,4.32
181,Santa Isabel,1,MX,1563093338,62,32.63,-115.58,91.0,10.29
182,Mackay,99,CA,1563093340,93,53.65,-115.58,51.8,2.24
183,Mumford,13,GH,1563093341,74,5.26,-0.76,77.63,3.96
184,Pisco,90,PE,1563092844,77,-13.71,-76.2,61.0,3.36
185,Arraial do Cabo,12,BR,1563093343,67,-22.97,-42.02,68.99,6.51
186,Osmena,100,PH,1563093345,78,12.17,124.59,81.95,13.89
187,Petropavlovsk-Kamchatskiy,67,RU,1563093346,67,53.05,158.65,62.6,6.71
188,Birao,0,CF,1563093347,60,10.3,22.78,85.19,6.78
189,East London,0,ZA,1563093348,56,-33.02,27.91,68.0,3.36
190,Pochutla,100,MX,1563093350,87,15.74,-96.47,77.0,3.71
191,Goundi,91,TD,1563093351,74,9.36,17.37,81.41,7.2
192,Zemio,13,CF,1563093352,65,5.02,25.13,82.13,3.24
193,Safonovo,40,RU,1563093353,47,55.11,33.24,68.09,1.57
194,Saintes,0,FR,1563093355,49,45.74,-0.63,75.0,10.29
195,Kazachinskoye,12,RU,1563093356,32,57.69,93.28,81.95,8.23
196,Barrow,0,AR,1563093357,73,-38.31,-60.23,41.45,8.86
197,Dikson,100,RU,1563093358,88,73.51,80.55,35.15,10.67
198,Caravelas,8,BR,1563093359,91,-17.73,-39.27,65.75,5.32
199,Siniscola,0,IT,1563093361,54,40.57,9.69,84.2,3.36
200,Sungaipenuh,29,ID,1563093362,69,-2.08,101.38,85.01,4.36
201,Garden City,1,US,1563093363,47,43.62,-116.24,75.2,10.29
202,Cherskiy,95,RU,1563093013,72,68.75,161.3,48.11,15.48
203,Dandong,0,CN,1563093366,70,40.12,124.37,78.35,7.45
204,Marquette,1,US,1563093367,81,46.54,-87.4,57.99,4.16
205,Karratha,0,AU,1563093170,15,-20.74,116.85,79.61,12.88
206,Wukari,86,NG,1563093369,79,7.87,9.78,80.69,7.43
207,Tomatlan,100,MX,1563093371,93,19.93,-105.25,77.09,8.23
208,Bambous Virieux,40,MU,1563093372,53,-20.34,57.76,75.2,9.17
209,Vostok,75,RU,1563093373,72,46.45,135.83,70.61,5.19
210,Sinnamary,0,GF,1563093374,82,5.38,-52.96,77.63,5.84
211,Norman Wells,40,CA,1563093376,66,65.28,-126.83,55.4,5.82
212,Hakkari,0,FI,1563093377,54,61.34,23.75,64.0,3.36
213,Koumac,53,NC,1563093378,70,-20.56,164.28,71.33,16.42
214,Adrar,0,DZ,1563093379,5,27.87,-0.29,98.6,3.36
215,Saint-Philippe,90,CA,1563093380,88,45.36,-73.48,66.0,8.05
216,Moses Lake,1,US,1563093255,40,47.13,-119.28,69.8,6.93
217,Oktyabrskoye,20,RU,1563093383,47,56.73,85.44,81.0,11.18
218,Maniitsoq,2,GL,1563093384,81,65.42,-52.9,45.41,4.83
219,Hami,0,CN,1563092999,13,42.84,93.51,95.63,11.63
220,Sembakung,20,ID,1563093091,62,3.82,117.25,87.8,3.36
221,Lakes Entrance,100,AU,1563093388,85,-37.88,147.99,50.0,25.93
222,Kidal,0,ML,1563093051,31,18.44,1.41,94.73,14.12
223,Petatlan,100,MX,1563093211,76,17.52,-101.27,81.05,1.54
224,Bonfim,0,GY,1563093391,88,3.36,-59.84,72.77,7.0
225,Darhan,66,MN,1563092975,50,49.49,105.92,77.99,3.24
226,Oistins,40,BB,1563092976,78,13.07,-59.53,78.8,16.11
227,Popondetta,100,PG,1563093394,94,-8.77,148.24,66.47,1.43
228,Feicheng,89,CN,1563093396,20,36.18,116.77,101.21,9.04
229,Santa Maria,0,BR,1563093397,76,-16.02,-48.01,53.6,2.24
230,Noumea,90,NC,1563093398,82,-22.28,166.46,68.0,6.93
231,Namibe,90,AO,1563093010,77,-15.19,12.15,68.0,7.23
232,Pangnirtung,100,CA,1563093401,48,66.15,-65.72,52.25,2.1
233,Bilibino,78,RU,1563093402,58,68.06,166.44,65.03,2.17
234,Talnakh,0,RU,1563093403,68,69.49,88.39,64.4,6.71
235,Druzhba,100,UA,1563093404,72,49.36,25.65,62.01,1.01
236,High Prairie,87,CA,1563093405,90,55.43,-116.48,53.69,4.81
237,Mayo,40,CA,1563093407,72,63.59,-135.9,59.0,1.52
238,San Cristobal,4,HN,1563093408,97,14.68,-86.92,63.41,3.62
239,Fairbanks,1,US,1563093391,68,64.84,-147.72,66.2,8.05
240,Pangody,80,RU,1563093410,44,65.85,74.49,84.47,22.35
241,Dunedin,100,NZ,1563093411,73,-45.87,170.5,46.0,17.0
242,Naze,19,NG,1563093413,78,5.43,7.07,80.33,5.79
243,Honiara,75,SB,1563093414,100,-9.43,159.96,73.4,4.7
244,Pitkyaranta,42,RU,1563093415,74,61.57,31.48,54.23,6.4
245,Puerto Ayora,52,EC,1563093416,83,-0.74,-90.35,68.45,8.75
246,Toma,0,BF,1563093418,56,12.76,-2.9,84.11,10.36
247,Makakilo City,20,US,1563092913,65,21.35,-158.09,80.6,13.87
248,Nortelandia,0,BR,1563093420,60,-14.45,-56.8,66.83,1.88
249,Hirado,40,JP,1563093421,94,33.32,129.49,78.8,13.87
250,Gisborne,65,NZ,1563093422,65,-38.66,178.02,54.0,4.0
251,Hamilton,5,CA,1563092642,63,43.26,-79.87,66.99,10.29
252,Port Alfred,0,ZA,1563093425,78,-33.59,26.89,64.0,1.01
253,Soyo,75,AO,1563093426,88,-6.13,12.37,73.4,3.36
254,Teknaf,100,BD,1563093427,77,20.86,92.31,85.19,14.74
255,Kamaishi,75,JP,1563093429,78,39.28,141.86,73.4,6.93
256,Alfenas,62,BR,1563093430,83,-21.43,-45.95,58.19,1.7
257,Baijiantan,5,CN,1563093431,9,45.63,85.18,95.27,17.11
258,Srednekolymsk,67,RU,1563092929,47,67.46,153.71,73.13,13.76
259,Kavaratti,100,IN,1563093434,74,10.57,72.64,83.39,18.1
260,Vila Franca do Campo,75,PT,1563093158,100,37.72,-25.43,69.8,4.7
261,Kutum,0,SD,1563093436,33,14.2,24.66,86.45,7.31
262,Southbridge,90,US,1563093437,88,42.08,-72.03,70.0,10.29
263,Tautira,75,PF,1563093439,78,-17.73,-149.15,77.0,4.7
264,Nome,90,US,1563093440,94,30.04,-94.42,78.01,7.83
265,Waipawa,0,NZ,1563093441,77,-39.94,176.59,48.99,11.99
266,Santa Isabel do Rio Negro,51,BR,1563093442,99,-0.41,-65.02,70.25,1.77
267,Port Augusta,100,AU,1563093443,93,-32.49,137.76,53.6,3.36
268,San Patricio,100,PY,1563092757,99,-26.98,-56.83,64.31,2.82
269,Provideniya,24,RU,1563093446,82,64.42,-173.23,53.15,5.66
270,Araouane,32,ML,1563093447,41,18.9,-3.53,92.03,15.19
271,Conde,12,BR,1563093448,98,-11.81,-37.61,65.93,2.98
272,Sabang,100,PH,1563093449,84,13.8,121.11,80.69,4.61
273,Taoudenni,1,ML,1563093451,27,22.68,-3.98,101.03,10.94
274,Corn Island,100,NI,1563093452,79,12.17,-83.04,81.77,17.0
275,Ekhabi,0,RU,1563093453,81,53.51,142.97,57.29,15.97
276,Okhotsk,100,RU,1563093455,89,59.36,143.24,53.87,16.37
277,Mezhdurechensk,0,RU,1563093456,29,53.69,88.07,83.21,10.29
278,Rawson,70,AR,1563093457,55,-43.3,-65.11,43.25,8.16
279,Portland,75,US,1563093363,88,43.66,-70.25,68.0,4.7
280,Andros Town,16,BS,1563093459,77,24.73,-77.79,82.99,11.99
281,Poum,9,MK,1563093039,71,41.28,20.71,63.05,4.47
282,Ajaccio,0,FR,1563093462,69,41.93,8.74,84.2,5.82
283,Salalah,90,OM,1563093463,94,17.01,54.1,80.6,10.29
284,Nirmal,63,IN,1563093464,54,19.09,78.35,89.33,14.99
285,Camapua,9,BR,1563093466,47,-19.53,-54.04,65.57,4.72
286,Leningradskiy,100,RU,1563093467,95,69.38,178.42,35.69,7.36
287,Kirakira,100,SB,1563093468,91,-10.46,161.92,77.27,8.68
288,Malanje,0,AO,1563093469,34,-9.54,16.35,81.23,4.81
289,Rome,0,IT,1563093278,65,41.89,12.48,84.99,5.82
290,Pacific Grove,1,US,1563093038,76,36.62,-121.92,62.01,7.9
291,Laje,26,BR,1563093473,97,-13.18,-39.42,61.97,2.77
292,Saldanha,0,PT,1563093474,59,41.42,-6.55,74.21,2.35
293,Vestmannaeyjar,100,IS,1563093475,98,63.44,-20.27,52.61,14.72
294,Elko,1,US,1563093256,55,40.83,-115.76,62.01,1.59
295,Lasem,0,ID,1563093478,53,-6.99,112.52,83.39,7.18
296,Pagudpud,75,PH,1563093479,74,18.56,120.79,87.8,8.05
297,Bridlington,55,GB,1563093480,82,54.08,-0.19,62.01,5.82
298,Ancud,20,CL,1563093481,81,-41.87,-73.83,44.6,10.29
299,Myaundzha,53,RU,1563093483,41,63.05,147.18,75.65,4.05
300,Ostrovnoy,82,RU,1563093484,74,68.05,39.51,47.39,8.14
301,Praia,0,BR,1563093485,93,-20.25,-43.81,51.8,0.51
302,Pardina,40,RO,1563093486,42,45.31,28.96,81.0,11.41
303,Uruzgan,0,AF,1563093488,9,32.93,66.63,85.01,14.47
304,Davila,75,PH,1563093489,74,18.47,120.58,87.8,8.05
305,Grand Island,1,US,1563093341,78,40.92,-98.34,73.4,8.05
306,Rexburg,1,US,1563093491,63,43.82,-111.79,64.4,3.36
307,Mulege,0,MX,1563093492,70,26.88,-111.98,82.85,3.0
308,Saquarema,16,BR,1563093494,94,-22.93,-42.51,68.0,4.7
309,Banjar,17,ID,1563093495,64,-7.37,108.54,77.99,8.16
310,Polunochnoye,100,RU,1563093496,60,60.87,60.43,77.99,5.99
311,Outjo,0,NA,1563093497,18,-20.11,16.16,68.0,4.7
312,Saint-Joseph,20,FR,1563093499,61,43.56,6.97,82.99,10.29
313,Cayenne,20,GF,1563093484,94,4.94,-52.33,73.4,2.68
314,Valle de Allende,8,MX,1563093501,51,26.94,-105.39,69.35,1.57
315,Chicama,90,PE,1563093502,88,-7.84,-79.15,62.6,5.82
316,Tura,71,RU,1563093504,55,64.27,100.22,72.23,8.75
317,Flinders,20,AU,1563093505,53,-34.58,150.85,53.01,26.4
318,Denpasar,40,ID,1563093302,69,-8.65,115.22,82.4,14.99
319,Russell,1,US,1563093507,78,38.9,-98.86,72.0,10.29
320,Jalu,0,LY,1563093509,23,29.03,21.55,92.93,10.11
321,Itarema,22,BR,1563093510,96,-2.92,-39.92,67.73,5.17
322,Lebu,75,ET,1563093511,55,8.96,38.73,64.4,2.24
323,Lata,100,IN,1563093512,97,30.78,78.62,46.31,7.43
324,Katete,22,UG,1563093514,55,-0.78,29.75,77.09,4.32
325,Kyzyl-Suu,93,KG,1563093515,57,42.34,78.0,68.99,2.68
326,Shubarkuduk,100,KZ,1563093516,46,49.15,56.49,83.75,9.6
327,Mehamn,100,NO,1563093517,79,71.03,27.85,43.97,9.62
328,Pompeu,0,BR,1563093519,59,-21.05,-48.85,66.2,5.19
329,Longyearbyen,40,NO,1563093520,65,78.22,15.63,46.4,6.93
330,Bafq,0,IR,1563093521,10,31.6,55.4,101.93,6.04
331,Manokwari,100,ID,1563093512,85,-0.87,134.08,73.31,1.95
332,Palana,73,RU,1563093523,96,59.08,159.95,49.73,15.28
333,Broadford,75,AU,1563093461,66,-37.2,145.05,52.0,26.4
334,Santa Cruz,21,BR,1563093322,96,-6.22,-36.02,66.47,4.81
335,Mercedes,0,UY,1563093527,97,-33.25,-58.03,42.01,4.36
336,Regina,20,CA,1563093234,82,50.45,-104.62,66.99,13.87
337,Kanniyakumari,30,IN,1563093529,82,8.08,77.57,81.41,20.33
338,Visnes,75,NO,1563093531,66,59.36,5.22,55.4,24.16
339,Aurangabad,40,IN,1563093435,55,19.87,75.33,89.6,6.93
340,Bucerias,75,MX,1563093533,94,20.76,-105.33,82.0,5.48
341,Chernyshevskiy,75,RU,1563093534,45,63.01,112.47,77.09,5.23
342,Greeneville,20,US,1563093416,94,36.16,-82.83,73.4,2.08
343,Okulovka,100,RU,1563093537,94,58.37,33.3,51.53,1.95
344,Yulara,0,AU,1563093538,27,-25.24,130.99,62.6,14.99
345,Lianzhou,100,CN,1563093539,85,24.79,112.38,77.27,3.24
346,Egvekinot,67,RU,1563093540,64,66.32,-179.17,62.87,6.82
347,Acapulco,90,MX,1563093542,83,16.86,-99.88,80.6,6.93
348,Lorengau,0,PG,1563093543,82,-2.02,147.27,79.79,7.36
349,Nemuro,75,JP,1563093544,100,43.32,145.57,59.0,6.93
350,Japura,31,ID,1563093546,48,-0.42,102.29,91.85,2.55
351,Ahar,0,IR,1563093547,27,38.48,47.07,79.43,6.13
352,Dingle,100,PH,1563093548,91,11.0,122.67,76.37,3.91
353,Sao Filipe,25,CV,1563093549,85,14.9,-24.5,73.85,17.29
354,Show Low,40,US,1563093430,43,34.25,-110.03,72.0,4.7
355,Eyl,51,SO,1563093552,38,7.98,49.82,92.03,28.66
356,Penzance,0,GB,1563093553,77,50.12,-5.53,68.0,13.87
357,Melfort,75,CA,1563093554,100,52.87,-104.61,59.0,6.93
358,Ahuimanu,75,US,1563093555,83,21.44,-157.84,80.6,11.41
359,Altamira,89,BR,1563093557,99,-3.2,-52.21,69.53,1.92
360,Brae,100,GB,1563093558,93,60.4,-1.35,51.8,3.36
361,Sur,74,OM,1563093559,22,22.57,59.53,105.53,15.05
362,Humaita,75,AR,1563093560,93,-24.93,-65.37,55.4,5.82
363,Channel-Port aux Basques,50,CA,1563093562,89,47.57,-59.14,54.59,2.8
364,Khryashchevka,75,RU,1563093563,64,53.81,49.09,73.4,2.24
365,Nebbi,56,UG,1563093564,64,2.48,31.09,74.93,7.67
366,Arlit,10,NE,1563093565,16,18.74,7.39,99.95,14.14
367,Amantea,40,IT,1563093567,61,39.13,16.07,82.99,4.7
368,Tairua,50,NZ,1563093568,93,-37.02,175.85,53.01,13.53
369,Kansanshi,0,ZM,1563093569,25,-12.1,26.43,76.01,7.67
370,Awbari,0,LY,1563093570,13,26.59,12.77,97.61,10.89
371,Vila,40,IT,1563093572,41,45.18,8.4,81.0,2.24
372,Nan,75,TH,1563093573,44,18.78,100.78,95.0,3.36
373,Mulki,75,PL,1563093574,72,49.81,20.51,72.0,4.7
374,Havelock,1,US,1563093479,88,34.88,-76.9,77.0,3.27
375,Bull Savanna,0,JM,1563093577,78,17.89,-77.59,79.61,5.68
376,Rochelle,1,US,1563093578,88,41.92,-89.07,73.0,3.36
